Run    0:1702991752557446
Run    1:1702991752757382
Run    2:1702991752957007
Run    3:1702991753156950
Run    4:1702991753357041
Run    5:1702991753557443
Run    6:1702991753756907
Run    7:1702991753957005
Run    8:1702991754156950
Run    9:1702991754356911
Run   10:1702991754557286
Run   11:1702991754756993
Run   12:1702991754957386
Run   13:1702991755156926
Run   14:1702991755356931
Run   15:1702991755557064
Run   16:1702991755756905
Run   17:1702991755957373
Run   18:1702991756157374
Run   19:1702991756356944
Run   20:1702991756557422
Run   21:1702991756757467
Run   22:1702991756957377
Run   23:1702991757156993
Run   24:1702991757356947
Run   25:1702991757556960
Run   26:1702991757757402
Run   27:1702991757957368
Run   28:1702991758156965
Run   29:1702991758357124
Run   30:1702991758556988
Run   31:1702991758757296
Run   32:1702991758957396
Run   33:1702991759157410
Run   34:1702991759356952
Run   35:1702991759557363
Run   36:1702991759757390
Run   37:1702991759957841
Run   38:1702991760157224
Run   39:1702991760357290
Run   40:1702991760557329
Run   41:1702991760757281
Run   42:1702991760956917
Run   43:1702991761157047
Run   44:1702991761357399
Run   45:1702991761557059
Run   46:1702991761757379
Run   47:1702991761957402
Run   48:1702991762157402
Run   49:1702991762356966
Run   50:1702991762557037
Run   51:1702991762756971
Run   52:1702991762957124
Run   53:1702991763156948
Run   54:1702991763356918
Run   55:1702991763557161
Run   56:1702991763757405
Run   57:1702991763957219
Run   58:1702991764157399
Run   59:1702991764357031
Run   60:1702991764556892
Run   61:1702991764757184
Run   62:1702991764956901
Run   63:1702991765157410
Run   64:1702991765357414
Run   65:1702991765557374
Run   66:1702991765757394
Run   67:1702991765957391
Run   68:1702991766157462
Run   69:1702991766357495
Run   70:1702991766557237
Run   71:1702991766757396
Run   72:1702991766957432
Run   73:1702991767157385
Run   74:1702991767357023
Run   75:1702991767557414
Run   76:1702991767757051
Run   77:1702991767957033
Run   78:1702991768157376
Run   79:1702991768356926
Run   80:1702991768557357
Run   81:1702991768757469
Run   82:1702991768957367
Run   83:1702991769157545
Run   84:1702991769356959
Run   85:1702991769557351
Run   86:1702991769756992
Run   87:1702991769956940
Run   88:1702991770157185
Run   89:1702991770357413
Run   90:1702991770557375
Run   91:1702991770757396
Run   92:1702991770956912
Run   93:1702991771157361
Run   94:1702991771357396
Run   95:1702991771557405
Run   96:1702991771757585
Run   97:1702991771957394
Run   98:1702991772156941
Run   99:1702991772357434
Run  100:1702991772557385
Run  101:1702991772757079
Run  102:1702991772957390
Run  103:1702991773157395
Run  104:1702991773357119
Run  105:1702991773557393
Run  106:1702991773757427
Run  107:1702991773957390
Run  108:1702991774157389
Run  109:1702991774357097
Run  110:1702991774557232
Run  111:1702991774756945
Run  112:1702991774957378
Run  113:1702991775157350
Run  114:1702991775356962
Run  115:1702991775556886
Run  116:1702991775757367
Run  117:1702991775957405
Run  118:1702991776157673
Run  119:1702991776356911
Run  120:1702991776557434
Run  121:1702991776757384
Run  122:1702991776957384
Run  123:1702991777156946
Run  124:1702991777357395
Run  125:1702991777557399
Run  126:1702991777757379
Run  127:1702991777957252
Run  128:1702991778156920
Run  129:1702991778357633
Run  130:1702991778557386
Run  131:1702991778757248
Run  132:1702991778957383
Run  133:1702991779157421
Run  134:1702991779357368
Run  135:1702991779556946
Run  136:1702991779757382
Run  137:1702991779956965
Run  138:1702991780157389
Run  139:1702991780357382
Run  140:1702991780557403
Run  141:1702991780756984
Run  142:1702991780957413
Run  143:1702991781157385
Run  144:1702991781357386
Run  145:1702991781557729
Run  146:1702991781756937
Run  147:1702991781957414
Run  148:1702991782157381
Run  149:1702991782356935
Run  150:1702991782556920
Run  151:1702991782757375
Run  152:1702991782957346
Run  153:1702991783157359
Run  154:1702991783357164
Run  155:1702991783556974
Run  156:1702991783757402
Run  157:1702991783957375
Run  158:1702991784157419
Run  159:1702991784357108
Run  160:1702991784557419
Run  161:1702991784757420
Run  162:1702991784957227
Run  163:1702991785156888
Run  164:1702991785357291
Run  165:1702991785557367
Run  166:1702991785757385
Run  167:1702991785957014
Run  168:1702991786156949
Run  169:1702991786357141
Run  170:1702991786557376
Run  171:1702991786757279
Run  172:1702991786956954
Run  173:1702991787157023
Run  174:1702991787357039
Run  175:1702991787556971
Run  176:1702991787757016
Run  177:1702991787956883
Run  178:1702991788157362
Run  179:1702991788357377
Run  180:1702991788557417
Run  181:1702991788757385
Run  182:1702991788956914
Run  183:1702991789157394
Run  184:1702991789357381
Run  185:1702991789557400
Run  186:1702991789757417
Run  187:1702991789957011
Run  188:1702991790157371
Run  189:1702991790357413
Run  190:1702991790556986
Run  191:1702991790757335
Run  192:1702991790957389
Run  193:1702991791157412
Run  194:1702991791357367
Run  195:1702991791556933
Run  196:1702991791757379
Run  197:1702991791956969
Run  198:1702991792157380
Run  199:1702991792356875
Run  200:1702991792556947
Run  201:1702991792757335
Run  202:1702991792957377
Run  203:1702991793156975
Run  204:1702991793356875
Run  205:1702991793557415
Run  206:1702991793757353
Run  207:1702991793957367
Run  208:1702991794156936
Run  209:1702991794357257
Run  210:1702991794557331
Run  211:1702991794757345
Run  212:1702991794957840
Run  213:1702991795157523
