Run    0:1702991752558232
Run    1:1702991752757726
Run    2:1702991752957586
Run    3:1702991753157529
Run    4:1702991753357395
Run    5:1702991753557933
Run    6:1702991753757188
Run    7:1702991753957693
Run    8:1702991754157332
Run    9:1702991754357568
Run   10:1702991754557687
Run   11:1702991754757624
Run   12:1702991754957899
Run   13:1702991755157253
Run   14:1702991755357376
Run   15:1702991755557498
Run   16:1702991755757535
Run   17:1702991755957713
Run   18:1702991756157665
Run   19:1702991756357322
Run   20:1702991756557771
Run   21:1702991756758088
Run   22:1702991756957703
Run   23:1702991757157310
Run   24:1702991757357268
Run   25:1702991757557519
Run   26:1702991757757786
Run   27:1702991757957752
Run   28:1702991758157348
Run   29:1702991758357527
Run   30:1702991758557276
Run   31:1702991758757626
Run   32:1702991758957728
Run   33:1702991759157875
Run   34:1702991759357519
Run   35:1702991759557773
Run   36:1702991759757745
Run   37:1702991759958194
Run   38:1702991760157642
Run   39:1702991760357895
Run   40:1702991760557734
Run   41:1702991760757652
Run   42:1702991760957610
Run   43:1702991761157547
Run   44:1702991761357961
Run   45:1702991761557641
Run   46:1702991761757754
Run   47:1702991761957861
Run   48:1702991762157797
Run   49:1702991762357304
Run   50:1702991762557620
Run   51:1702991762757212
Run   52:1702991762957503
Run   53:1702991763157379
Run   54:1702991763357364
Run   55:1702991763557693
Run   56:1702991763757789
Run   57:1702991763957570
Run   58:1702991764157831
Run   59:1702991764357558
Run   60:1702991764557205
Run   61:1702991764757685
Run   62:1702991764957361
Run   63:1702991765157961
Run   64:1702991765357869
Run   65:1702991765557691
Run   66:1702991765757832
Run   67:1702991765957852
Run   68:1702991766157850
Run   69:1702991766357838
Run   70:1702991766557643
Run   71:1702991766757854
Run   72:1702991766957887
Run   73:1702991767157867
Run   74:1702991767357399
Run   75:1702991767557918
Run   76:1702991767757625
Run   77:1702991767957460
Run   78:1702991768157724
Run   79:1702991768357384
Run   80:1702991768557724
Run   81:1702991768758091
Run   82:1702991768957810
Run   83:1702991769157968
Run   84:1702991769357465
Run   85:1702991769557669
Run   86:1702991769757316
Run   87:1702991769957327
Run   88:1702991770157658
Run   89:1702991770357764
Run   90:1702991770557969
Run   91:1702991770757761
Run   92:1702991770957290
Run   93:1702991771157670
Run   94:1702991771357891
